user_id,article_1,article_2,article_3,article_4,article_5
217242,96210,336254,336220,183176,234698
224145,96210,124177,123909,336220,124350
238607,96210,123909,336220,183176,123289
233618,96210,336254,234267,123909,336220
207013,96210,336254,234267,123909,336220
207325,96210,124177,123909,336220,160132
236446,96210,234267,123909,336220,236673
208836,96210,336254,123909,336220,183176
215970,96210,336254,234267,124177,123909
245164,96210,336254,234267,123909,336220
207773,96210,336254,234267,124177,123909
249001,96210,336254,123909,336220,183176
205619,124177,123909,160132,123289,234698
232492,96210,336254,234267,124177,123909
248929,96210,336254,124177,123909,336220
224784,96210,124177,123909,336220,124350
223349,96210,123290,124353,124177,123909
246560,96210,336254,123909,336220,160132
242661,183176,235854,283918,206660,207848
217076,96210,124353,234267,124177,123909
219784,96210,336254,234267,124177,123909
203819,96210,336254,234267,124177,123909
206694,96210,123909,336220,183176,234698
236910,96210,336254,123909,336220,124350
206032,96210,336220,183176,234698,124194
201861,96210,336254,234267,124177,123909
225263,96210,336254,234267,124177,123909
240775,96210,336254,123909,336220,183176
222006,96210,336254,234267,123909,336220
244769,96210,336254,124177,123909,336220
241016,96210,336254,234267,124177,123909
212425,96210,234267,124177,123909,336220
206030,96210,336254,123909,183176,124194
218810,96210,123909,183176,123289,234698
248378,96210,336254,234267,124177,123909
207469,96210,183176,277107,289090,336250
228991,96210,234267,124177,123909,336220
244539,336254,202320,206763,245161,277492
233924,96210,123909,336220,160132,183176
214297,96210,336254,234267,123909,336220
207626,96210,336254,234267,124177,123909
233075,96210,123290,124177,123909,336220
216150,96210,234267,124177,123909,336220
235868,96210,234267,124177,123909,336220
223753,96210,124353,234267,124177,123909
235277,96210,336254,123909,336220,160132
217959,96210,234267,123909,336220,183176
233701,96210,336254,234267,123909,336220
215973,96210,336254,234267,123909,336220
232331,96210,336254,234267,123909,336220
205095,96210,336254,234267,123909,336220
218736,96210,336254,123909,336220,183176
226036,96210,336254,123909,336220,183176
240152,96210,336254,123909,336220,124350
240339,96210,123909,336220,160132,183176
215626,96210,234267,124177,123909,336220
239647,96210,123909,336220,183176,123289
242904,336254,234267,123909,336220,160132
235962,96210,336254,234267,123909,336220
241315,96210,336254,123909,336220,236673
231996,96210,336254,123909,336220,183176
238170,96210,336254,123290,124177,123909
235624,96210,123909,336220,160132,183176
227167,96210,234267,123909,336220,183176
214907,96210,123909,336220,183176,123289
214511,96210,123290,234267,124177,123909
204521,96210,336254,234267,123909,336220
229772,96210,123290,124177,123909,336220
246890,123909,161801,336223,161858,64329
247915,96210,336254,123909,336220,123289
242557,123368,96210,123290,234267,123909
218143,96210,234267,124177,123909,336220
203094,96210,124177,123909,336220,160132
238566,96210,123909,336220,183176,123289
210037,96210,234267,124177,123909,336220
236445,96210,336254,234267,123909,336220
212873,96210,124177,123909,183176,123289
230422,96210,336254,234267,124177,123909
242687,96210,234267,336220,234698,336223
217389,96210,336254,234267,124177,123909
231717,285945,124177,123909,183176,123289
